Author,Race
"Yaa Gyasiÿ(born 1989), Ghanaian-American novelist, author ofÿHomegoing",African-American
,African-American
H[edit],African-American
"Alex Haleyÿ(1921?1992), author ofÿRoots: The Saga of an American Family",African-American
"Virginia Hamiltonÿ(1934?2002), author of children's books",African-American
Henry Hamptonÿ(1940?1998),African-American
"Lorraine Hansberryÿ(1930?1965), playwright",African-American
"Vincent Hardingÿ(1931?2014), historian and social activist",African-American
Nathan Hareÿ(born 1933),African-American
"Frances Harperÿ(1825?1922), poet and abolitionist",African-American
E. Lynn Harrisÿ(1955?2009),African-American
"Robert Haydenÿ(1913?1980), poet, essayist, educator",African-American
"Essex Hemphillÿ(1957?1995), poet and activist",African-American
David Henderson (poet)ÿ(born 1942),African-American
"Safiya Henderson-Holmesÿ(1950?2001), poet",African-American
"Chester Himesÿ(1909?1984), novelist",African-American
Kameisha Jerae Hodgeÿ(born 1989),African-American
Corey J. Hodgesÿ(born 1970),African-American
Karla F. C. Hollowayÿ(born 1949),African-American
"bell hooksÿ(born 1952), feminist, and social activist",African-American
"Pauline Hopkinsÿ(1859?1930), novelist, journalist, playwright, historian and editor",African-American
"Nalo Hopkinsonÿ(born 1960) Jamaican Canadian, currently based in California",African-American
George Moses Hortonÿ(1797?1884),African-American
Detrick Hughesÿ(born 1966),African-American
"Langston Hughesÿ(1902?1967), poet, social activist, novelist, playwright and columnist",African-American
"Zora Neale Hurstonÿ(1891?1960), folklorist, anthropologist, author of novels short stories, plays and essays",African-American
,African-American
J[edit],African-American
Brenda Jacksonÿ(born c. 1953),African-American
"Jesse C. Jacksonÿ(born 1908), young-adult novelist",African-American
"Harriet Jacobsÿ(1813?1897), author ofÿIncidents in the Life of a Slave Girlÿ(1861)",African-American
T.D. Jakesÿ(born 1957),African-American
Ayize Jama-Everettÿ(born 1974) science fiction and speculative fiction writer,African-American
John Jeaÿ(born 1773),African-American
N. K. Jemisinÿ(born 1972),African-American
Beverly Jenkinsÿ(born 1951),African-American
Alaya Dawn Johnsonÿ(born 1982),African-American
Charles R. Johnsonÿ(born 1948),African-American
"Georgia Douglas Johnsonÿ(1880?1966), poet",African-American
"Helene Johnsonÿ(1906?1995), poet",African-American
James Weldon Johnsonÿ(1871?1938),African-American
Mat Johnsonÿ(born 1970),African-American
"Edward P. Jonesÿ(born 1950), novelist and short-story writer",African-American
"Gayl Jonesÿ(born 1949), novelist",African-American
Tayari Jonesÿ(born 1970),African-American
"June Jordanÿ(1936?2002), poet, essayist and activist",African-American
,African-American
K[edit],African-American
Ron Karengaÿ(born 1941),African-American
"Bob Kaufmanÿ(1925?1986), poet",African-American
Elizabeth Keckleyÿ(1818?1907),African-American
"William Melvin Kelleyÿ(born 1937), novelist",African-American
"Emma Dunham Kelley-Hawkinsÿ(1863?1938), novelist",African-American
Randall Kenanÿ(born 1963),African-American
"Adrienne Kennedyÿ(born 1931), playwright",African-American
"John Oliver Killensÿ(1916?1987), novelist",African-American
Jamaica Kincaidÿ(born 1949),African-American
Martin Luther King Jr.ÿ(1929?1968),African-American
